,bike1,bike101,bike102,bike103,bike104,bike105,bike106,bike107,bike108,bike2,bike201,bike202,bike203,bike204,bike205,bike3,bike4,bike42,bike5,bike501,bike502,bike503,bike504,bike6,bike8,bike9,boat1,boat101,boat102,boat103,boat2,boat201,boat202,boat203,boat22,boat2201,boat2202,boat2203,boat3,boat301,boat302,boat303,boat32,boat3201,boat3202,boat3203,boat4,boat401,boat402,boat403,boat5,boat501,boat502,boat503,boat504,boat505,boat506,boat507,boat508,boat509,boat510,boat6,boat8,boat9,branch3,camp1,camp10,camp101,camp102,camp103,camp104,camp105,camp106,camp107,camp108,camp12,camp13,camp2,camp201,camp202,camp203,camp3,camp301,camp302,camp303,camp304,camp305,camp306,camp4,camp401,camp402,camp403,camp5,camp501,camp502,camp503,camp6,camp601,camp602,camp603,camp604,camp7,camp701,camp702,camp703,camp8,camp9,climb1,climb101,climb102,climb103,climb104,climb105,climb2,climb4,climb5,disk1,disk101,disk102,disk103,disk104,disk105,disk106,disk107,disk108,disk12,disk3,disk4,fish1,fish10,fish101,fish102,fish103,fish2,fish201,fish202,fish203,fish3,fish301,fish302,fish303,fish304,fish305,fish306,fish307,fish308,fish4,fish401,fish402,fish403,fish404,fish405,fish5,fish501,fish502,fish503,fish504,fish505,fish6,fish601,fish602,fish603,fish604,fish7,fish9,foot1,foot101,foot102,foot103,foot104,foot105,foot106,foot2,foot3,foot5,foot6,gard1,gard2,gard3,gard3st,gard4,gard6,gard7,golf1,golf101,golf102,golf103,golf104,golf105,golf106,golf107,golf108,golf109,golf110,golf111,golf2,golf4,golf5,hand1,hand101,hand102,hand103,hand104,hand105,hand106,hand107,hand108,hand109,hand2,hand4,hand5,hik1,hik101,hik102,hik103,hik104,hik105,hik106,hik2,hik201,hik202,hik203,hik204,hik205,hik3,hik301,hik302,hik303,hik304,hik305,hik306,hik307,hik308,hik309,hik310,hik311,hik312,hik4,hik6,hik7,hiweight,idnumber,loweight
10,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Not checked,Not checked,Not checked,Checked,Not checked,No,No,No,,,,,,5,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,1000,1,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,10,Satisfied,Not checked,Checked,Not checked,110,Checked,Checked,Not checked,1100,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,,,,,,,,,,,,,10,Not checked,Not checked,Checked,Not checked,7,Satisfied,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,1,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.04,11.00,1.28
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,No public facilities nearby,Highly dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.64,12.00,0.57
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.69,53.00,0.76
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.10,54.00,1.08
14,100000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,No,No,,,,,,10,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.64,56.00,0.57
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,100,30,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Highly dissatisfied,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.00,96.00,0.47
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.86,97.00,1.43
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.80,98.00,0.71
18,100000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,No,No,,,,,,2,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,100000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Satisfied,Satisfied,At least 18,10,2,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,10,Satisfied,Not checked,Checked,Not checked,10,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,100,Not checked,Not checked,Checked,Not checked,Not checked,10,Not checked,Not checked,Checked,Not checked,1,Satisfied,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,10000000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,2,Satisfied,Satisfied,9681.80,13.00,1.96
19,100000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,No,No,,,,,,50,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,100,4,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,110,Checked,Checked,Not checked,No,Yes,,,,,,,,,,,,,,,,,,,,,,10,Satisfied,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,,,,,,,,,,10000,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,10,Not checked,Not checked,Checked,Not checked,8,Satisfied,,,,,,,,,,,,No,,Yes,,,Highly satisfied,Highly satisfied,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,29,Satisfied,Satisfied,,,,,,,,,,,,,,110000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,1100,Not checked,Checked,Checked,Not checked,Not checked,10010000000,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,20,Satisfied,Satisfied,84.36,14.00,0.44
20,11110000,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,No,No,No,,,,,,5,Satisfied,Satisfied,,,,,10,Not checked,Checked,Not checked,10,Not checked,Checked,Not checked,,,,,,,,,,,,,10000000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Don't know / doesn't apply,Don't know / doesn't apply,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,10,Satisfied,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,,,,,,,,,,100,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,10,Not checked,Not checked,Checked,Not checked,1,Satisfied,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,11000000000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,50,Highly satisfied,Highly satisfied,110000000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,111100,Checked,Checked,Checked,Checked,Not checked,Not checked,11100,Checked,Checked,Checked,Not checked,Not checked,110011100000,Checked,Checked,Not checked,Not checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,20,Highly satisfied,Highly satisfied,7578.15,15.00,1.54
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,60,Satisfied,Satisfied,,,,,,,,,,,,,,110000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Checked,Not checked,Not checked,Not checked,10000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,30,Satisfied,Satisfied,247.31,16.00,1.00
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,10,Not checked,Checked,Not checked,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,2,Highly satisfied,Highly satisfied,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,12,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4563.21,17.00,0.96
23,11100000,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Not checked,Not checked,Not checked,Not checked,Checked,No,No,No,,,,,,20,Dissatisfied,Dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,,,,,,,10000000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,2241.35,18.00,0.56
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,20,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769.44,19.00,0.47
25,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Checked,Not checked,Not checked,Not checked,No,No,No,,,,,,20,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.80,20.00,0.61
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,1000,5,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.05,21.00,0.71
27,100000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,No,No,,,,,,4,Satisfied,Satisfied,,,,,100,Checked,Not checked,Not checked,10,Not checked,Checked,Not checked,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,2,Satisfied,Satisfied,At least 18,1000,3,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.36,22.00,0.44
28,10100000,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000,Checked,Not checked,Not checked,Not checked,Not checked,No,No,No,,,,,,5,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3206.44,144.00,1.48
