,acc,acc01,acc02,acc03,acc04,acc05,acc06,acc07,age,agecat,anyprk,barrier,barrier2,barrier3,barrier4,branch7,cntyres,disab,disab2,disabst,distprk,distprkx,distpub,distpubx,educate,gender,hiweight,idnumber,income,kdact1,kdact101,kdact102,kdact103,kdact104,kdact105,kdact106,kdact107,kdact108,kdact109,kdact110,kdact111,kdact112,kdact113,kdact114,kdact115,kdact116,kdact117,kdact118,kdact119,kdact2,kdact201,kdact202,kdact203,kdact204,kdact205,kdact206,kdact207,kdact208,kdact209,kdact210,kdact211,kdact212,kdact213,kdact214,kdact215,kdact216,kdact217,kdact218,kdact219,kdact3,kdact301,kdact302,kdact303,kdact304,kdact305,kdact306,kdact307,kdact308,kdact309,kdact310,kdact311,kdact312,kdact313,kdact314,kdact315,kdact316,kdact317,kdact318,kdact319,kiddo,likedo,likest1,likest2,loweight,nomo,nomost1,nomost2,numkid,numres,ownr,plan,planst1,planst2,race,race01,race02,race03,race04,race05,race06,race07,race08,race09,ratewet,ratewtx,region,reside,tab001,tab001a,tab002,tab003,tab004,tab005,tab005a,tab006,tab007,tab007a,tab008,tab009,tab010,tab011,tab011a,tab012,tab013,tab014,tab015,tab015a,tab016,tab017,tab017a,tab018,tab019,tab020,tab022,tab023,tab024,tab025,tab026,tab027,tab028,tab029,tab030,tab030a,tab031,tab032,tab033,tab034,tab035,tab036,tab037,tab038,tab039,tab040,tab041,tab042,tab044,tab045,tab046,tab047,tab048,tab049,tab050,tab051,tab052,tab053,tab054,tab055,tab056,tab057,tab058,tab059,tab060,tab061,tab062,tab063,tab064,tab065,tab066,tab067,tab068,tab070,tab071,tab072,tab073,tab074,tab075,tab076,tab077,tab078,tab079,tab080,tab081,tab082,tab083,tab084,tab085,tab086,tab087,tab088,tab089,tab090,tab091,tab092,tab093,tab094,tab095,tab096,tab097,tab098,tab099,tab100,tab101,tab102,tab103,tab104,typark,typark01,typark02,typark03,typark04,typark05,typark06,viscen,viscen01,viscen02,viscen03,viscen04,viscen05,wetlnd,wetlndst,wsrf1,wsrf101,wsrf102,wsrf103,wsrf2,wsrf4,wsrf5
585,1000100,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,53,45-54 years old,Yes,No,,No,,Does not have children,Island,,No,,1,1 mile,1,1 mile,"Some college or trade school, no degree",Female,145.49,584.00,"$35,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,0.60,No,,,,3,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Small city or town,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,1000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
586,1001100,Checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,31,25-34 years old,Yes,No,,No,,Has children,Island,No,No,,0,Less than 1 mile,3,3 miles,High school graduate or equivalent,Female,208.29,585.00,"$50,000-$74,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,0.86,No,,,2,4,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Small city or town,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1100,Not checked,Checked,Checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
587,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,25,25-34 years old,Yes,No,,No,,Has children,Island,No,No,,0,Less than 1 mile,0,Less than 1 mile,"Some college or trade school, no degree",Female,208.29,586.00,Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,0.86,No,,,2,4,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Small city or town,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11100,Checked,Checked,Checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
588,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,29,25-34 years old,Yes,No,,No,,Has children,Island,No,No,,3,3 miles,3,3 miles,Bachelor's degree,Female,208.29,587.00,"$50,000-$74,999",1101010100000010,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,101100001010,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,1000100000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,No,,,0.86,No,,,2,5,Own,"Yes, ALL of them",,,1,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,,,The Islands,Small city or town,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11100,Checked,Checked,Checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
589,1000100,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,62,55-64 years old,Yes,No,,No,,Does not have children,San Juan,,No,,1,1 mile,5,5 miles,"Some college or trade school, no degree",Female,215.00,588.00,"$25,000-$34,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,,0.88,No,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1100,Not checked,Checked,Checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,No,,,,,,,,
590,1001100,Checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,55,55-64 years old,Yes,No,,No,,Has children,San Juan,No,No,,1,1 mile,5,5 miles,Master's degree,Female,215.00,589.00,"$75,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,0.88,No,,,3,5,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,No,,,,,,,,
591,1000100,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,57,55-64 years old,Yes,No,,No,,Does not have children,Island,,No,,2,2 miles,2,2 miles,"Some college or trade school, no degree",Female,215.00,590.00,"$75,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,,0.88,Don't know,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Small city or town,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11100,Checked,Checked,Checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
592,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,52,45-54 years old,Yes,No,,No,,Does not have children,Island,,No,,15,11-15 miles,15,11-15 miles,High school graduate or equivalent,Male,227.64,591.00,"$50,000-$74,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,0.93,No,,,,4,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Small city or town,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
593,1010000,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,888,Refused,Yes,No,,No,,Has children,Island,No,No,,0,Less than 1 mile,0,Less than 1 mile,Professional or doctorate degree,Male,227.64,592.00,"$75,000 or more",1010000000000010010,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,10101000001000,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,100000001100100000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,No,,,0.93,No,,,2,4,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11100,Checked,Checked,Checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
594,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,49,45-54 years old,Yes,No,,No,,Does not have children,Island,,No,,5,5 miles,5,5 miles,Professional or doctorate degree,Male,227.64,593.00,"$35,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,0.93,No,,,,1,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
595,1000100,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,75,65 years old or older,Yes,No,,No,,Does not have children,San Juan,,No,,12,11-15 miles,12,11-15 miles,Bachelor's degree,Female,257.59,594.00,Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.06,No,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
596,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,66,65 years old or older,Yes,No,,No,,Does not have children,San Juan,,No,,10,6-10 miles,0,Less than 1 mile,"Some college or trade school, no degree",Female,257.59,595.00,"$20,000-$24,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,,1.06,No,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1100,Not checked,Checked,Checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,No,,,,,,,,
597,1000100,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,70,65 years old or older,Yes,No,,No,,Does not have children,Island,,No,,,Don't know,0,Less than 1 mile,Master's degree,Female,257.59,596.00,"$75,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.06,No,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,No,,,,,,,,
598,1000100,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,73,65 years old or older,Yes,No,,No,,Does not have children,Island,,No,,1,1 mile,1,1 mile,Bachelor's degree,Female,257.59,597.00,"$35,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.06,No,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11100,Checked,Checked,Checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
599,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,78,65 years old or older,Yes,No,,No,,Does not have children,Island,,No,,1,1 mile,0,Less than 1 mile,"Some college or trade school, no degree",Female,257.59,598.00,Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.06,No,,,,1,Own,Don't know,,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Small city or town,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
600,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,76,65 years old or older,Yes,No,,No,,Does not have children,Island,,No,,5,5 miles,5,5 miles,Associate's or trade school degree,Female,257.59,599.00,"$50,000-$74,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.06,No,,,,3,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
601,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,74,65 years old or older,Yes,No,,No,,Does not have children,Island,,No,,1,1 mile,1,1 mile,High school graduate or equivalent,Female,257.59,600.00,"$25,000-$34,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.06,No,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Large city or urban area,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11100,Checked,Checked,Checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,No,,,,,,,,
602,1000100,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,70,65 years old or older,Yes,No,,No,,Does not have children,San Juan,,No,,0,Less than 1 mile,10,6-10 miles,Bachelor's degree,Male,259.55,601.00,"$35,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.07,No,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area on a farm or ranch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1100,Not checked,Checked,Checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,No,,,,,,,,
603,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,70,65 years old or older,Yes,No,,No,,Does not have children,San Juan,,No,,10,6-10 miles,10,6-10 miles,"Some college or trade school, no degree",Male,259.55,602.00,"$35,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.07,No,,,,1,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area on a farm or ranch,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
604,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,73,65 years old or older,Yes,No,,No,,Does not have children,San Juan,,No,,5,5 miles,5,5 miles,"Some college or trade school, no degree",Male,259.55,603.00,"$75,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.07,No,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
605,1000100,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,70,65 years old or older,Yes,No,,No,,Does not have children,San Juan,,No,,1,1 mile,1,1 mile,Bachelor's degree,Male,259.55,604.00,"$75,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.07,No,,,,2,Own,"Yes, ALL of them",,,100000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,The Islands,Rural area not on a farm or ranch,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11100,Checked,Checked,Checked,Not checked,Not checked,Not checked,,,,,,,No,,,,,,,,
